Timestamp, Angle, Distance(cm)
13:54:33, 129, 200
13:54:33, 128, 200
13:54:33, 127, 200
13:54:33, 126, 200
13:54:33, 125, 200
13:54:33, 124, 200
13:54:33, 123, 200
13:54:33, 122, 200
13:54:33, 121, 200
13:54:33, 120, 200
13:54:33, 119, 200
13:54:33, 118, 36
13:54:33, 117, 36
13:54:33, 116, 36
13:54:33, 115, 37
13:54:33, 114, 36
13:54:33, 113, 200
13:54:33, 112, 200
13:54:33, 111, 200
13:54:33, 110, 200
13:54:33, 109, 35
13:54:33, 108, 200
13:54:33, 107, 200
13:54:33, 106, 200
13:54:34, 105, 200
13:54:34, 104, 200
13:54:34, 103, 200
13:54:34, 102, 200
13:54:34, 101, 200
13:54:34, 100, 200
13:54:34, 99, 200
13:54:34, 98, 200
13:54:34, 97, 200
13:54:34, 96, 200
13:54:34, 95, 200
13:54:34, 94, 200
13:54:34, 93, 200
13:54:34, 92, 200
13:54:34, 91, 200
13:54:34, 90, 200
13:54:34, 89, 200
13:54:34, 88, 200
13:54:34, 87, 200
13:54:34, 86, 200
13:54:34, 85, 200
13:54:34, 84, 200
13:54:34, 83, 200
13:54:34, 82, 200
13:54:34, 81, 200
13:54:34, 80, 200
13:54:35, 79, 200
13:54:35, 78, 200
13:54:35, 77, 200
13:54:35, 76, 200
13:54:35, 75, 200
13:54:35, 74, 200
13:54:35, 73, 200
13:54:35, 72, 200
13:54:35, 71, 200
13:54:35, 70, 200
13:54:35, 69, 200
13:54:35, 68, 200
13:54:35, 67, 200
13:54:35, 66, 200
13:54:35, 65, 200
13:54:35, 64, 200
13:54:35, 63, 200
13:54:35, 62, 200
13:54:35, 61, 200
13:54:35, 60, 200
13:54:35, 59, 200
13:54:35, 58, 200
13:54:35, 57, 200
13:54:35, 56, 200
13:54:35, 55, 200
13:54:36, 54, 200
13:54:36, 53, 200
13:54:36, 52, 200
13:54:36, 51, 200
13:54:36, 50, 200
13:54:36, 49, 200
13:54:36, 48, 200
13:54:36, 47, 200
13:54:36, 46, 200
13:54:36, 45, 200
13:54:36, 44, 200
13:54:36, 43, 200
13:54:36, 42, 200
13:54:36, 41, 200
13:54:36, 40, 200
13:54:36, 39, 200
13:54:36, 38, 200
13:54:36, 37, 200
13:54:36, 36, 200
13:54:36, 35, 200
13:54:36, 34, 200
13:54:36, 33, 200
13:54:36, 32, 200
13:54:36, 31, 200
13:54:36, 30, 200
13:54:36, 29, 200
13:54:37, 28, 200
13:54:37, 27, 200
13:54:37, 26, 200
13:54:37, 25, 200
13:54:37, 24, 200
13:54:37, 23, 200
13:54:37, 22, 200
13:54:37, 21, 200
13:54:37, 20, 200
13:54:37, 19, 200
13:54:37, 18, 200
13:54:37, 17, 200
13:54:37, 16, 200
13:54:37, 15, 200
13:54:37, 16, 200
13:54:37, 17, 200
13:54:37, 18, 200
13:54:37, 19, 200
13:54:37, 20, 200
13:54:37, 21, 200
13:54:37, 22, 200
13:54:37, 23, 200
13:54:37, 24, 200
13:54:37, 25, 200
13:54:37, 26, 200
13:54:37, 27, 200
13:54:38, 28, 200
13:54:38, 29, 200
13:54:38, 30, 200
13:54:38, 31, 200
13:54:38, 32, 200
13:54:38, 33, 200
13:54:38, 34, 200
13:54:38, 35, 200
13:54:38, 36, 200
13:54:38, 37, 200
13:54:38, 38, 200
13:54:38, 39, 200
13:54:38, 40, 200
13:54:38, 41, 200
13:54:38, 42, 200
13:54:38, 43, 200
13:54:38, 44, 200
13:54:38, 45, 200
13:54:38, 46, 200
13:54:38, 47, 200
13:54:38, 48, 200
13:54:38, 49, 200
13:54:38, 50, 200
13:54:38, 51, 200
13:54:38, 52, 200
13:54:38, 53, 200
13:54:39, 54, 200
13:54:39, 55, 200
13:54:39, 56, 200
13:54:39, 57, 200
13:54:39, 58, 200
13:54:39, 59, 200
13:54:39, 60, 200
13:54:39, 61, 200
13:54:39, 62, 200
13:54:39, 63, 200
13:54:39, 64, 200
13:54:39, 65, 200
13:54:39, 66, 200
13:54:39, 67, 200
13:54:39, 68, 200
13:54:39, 69, 200
13:54:39, 70, 200
13:54:39, 71, 200
13:54:39, 72, 200
13:54:39, 73, 200
13:54:39, 74, 200
13:54:39, 75, 200
13:54:39, 76, 200
13:54:39, 77, 200
13:54:39, 78, 200
13:54:39, 79, 200
13:54:40, 80, 200
13:54:40, 81, 200
13:54:40, 82, 200
13:54:40, 83, 200
13:54:40, 84, 200
13:54:40, 85, 24
13:54:40, 86, 200
13:54:40, 87, 200
13:54:40, 88, 200
13:54:40, 89, 200
13:54:40, 90, 200
13:54:40, 91, 200
13:54:40, 92, 200
13:54:40, 93, 200
13:54:40, 94, 24
13:54:40, 95, 200
13:54:40, 96, 200
13:54:40, 97, 200
13:54:40, 98, 24
13:54:40, 99, 24
13:54:40, 100, 26
13:54:40, 101, 200
13:54:40, 102, 29
13:54:40, 103, 37
13:54:40, 104, 36
13:54:40, 105, 39
